rank,ngram,count,share,cumulative_share
1,tion,16665142795,0.011052084187965104,0.011052084187965104
2,atio,8806923204,0.005840625423068952,0.016892709611034055
3,that,8006441484,0.00530975740296285,0.022202467013996904
4,ther,6709891631,0.004449904096842422,0.02665237111083933
5,with,6099136075,0.004044859753315725,0.030697230864155052
6,ment,5424670138,0.003597563596941041,0.034294794461096095
7,ions,4103605496,0.0027214524336146434,0.03701624689471074
8,this,3830166510,0.002540111611593574,0.03955635850630431
9,here,3590397215,0.0023811000467587316,0.041937458553063044
10,from,3473404890,0.002303512411228017,0.04424097096429106
11,ould,3254639017,0.0021584300152598834,0.04639940097955094
12,ting,3206810019,0.0021267105083210883,0.04852611148787203
13,hich,3151330949,0.002089917583120713,0.050616029070992746
14,whic,3144376626,0.002085305575638283,0.05270133464663103
15,ctio,3042358746,0.002017648777715375,0.054718983424346404
16,ence,2858704883,0.0018958521642516133,0.05661483558859801
17,have,2817502046,0.0018685270324535449,0.05848336262105156
18,othe,2691858440,0.0017852019911818828,0.06026856461223344
19,ight,2665744211,0.0017678834082593055,0.06203644802049275
20,sion,2611036913,0.0017316023112036295,0.06376805033169637
21,ever,2499881214,0.0016578854425015688,0.06542593577419795
22,ical,2492121442,0.001652739272770029,0.06707867504696798
23,they,2464213289,0.001634230985125524,0.0687129060320935
24,inte,2456662311,0.0016292232845864978,0.07034212931668
25,ough,2398123895,0.001590401444904678,0.07193253076158468
26,ance,2356151685,0.0015625660759443756,0.07349509683752906
27,were,2341551381,0.0015528833632930147,0.07504798020082207
28,tive,2305502426,0.0015289762122743206,0.07657695641309639
29,over,2278057794,0.001510775325123043,0.07808773173821942
30,ding,2272830002,0.0015073083282894782,0.07959504006650892
31,pres,2262436497,0.001500415504526666,0.08109545557103558
32,nter,2233448271,0.0014811909279267054,0.08257664649896228
33,comp,2217995855,0.0014709431067924815,0.08404758960575476
34,able,2196502923,0.001456689301899704,0.08550427890765447
35,heir,2181293449,0.0014466025964228627,0.08695088150407733
36,thei,2177918715,0.0014443645211336923,0.08839524602521102
37,ally,2160442050,0.0014327742470339818,0.089828020272245
38,ated,2057217802,0.0013643174031191686,0.09119233767536417
39,ring,2045153376,0.0013563164484635937,0.09254865412382776
40,ture,2042026168,0.0013542425288749992,0.09390289665270277
41,cont,2040414869,0.0013531739384393187,0.09525607059114208
42,ents,2023167989,0.0013417360544628958,0.09659780664560498
43,cons,2021615245,0.0013407062968651688,0.09793851294247015
44,rati,2018379478,0.0013385603825014844,0.09927707332497163
45,thin,1996331280,0.0013239383331445456,0.10060101165811618
46,part,1980342010,0.0013133344781210458,0.10191434613623722
47,form,1953053447,0.0012952370936968884,0.10320958322993411
48,ning,1921768297,0.0012744892299740012,0.10448407245990811
49,ecti,1880194020,0.0012469177644840303,0.10573099022439214
50,some,1855503406,0.0012305433026544908,0.10696153352704664
51,port,1854632642,0.0012299658244321779,0.10819149935147881
52,enti,1829441946,0.0012132597153774768,0.10940475906685629
53,onal,1808240795,0.0011991994154678916,0.11060395848232418
54,itio,1802906061,0.0011956614962304946,0.11179961997855467
55,hing,1798474829,0.00119272276658846,0.11299234274514314
56,ound,1783908816,0.0011830627952375218,0.11417540554038065
57,will,1748415947,0.001159524432495253,0.11533492997287591
58,reat,1733252336,0.0011494681427036148,0.11648439811557952
59,comm,1726950118,0.0011452886019241739,0.11762968671750369
60,nder,1726180132,0.001144777958229113,0.11877446467573281
61,time,1722071779,0.0011420533573187925,0.1199165180330516
62,emen,1709331191,0.0011336039817021356,0.12105012201475374
63,iona,1693327839,0.001122990787697779,0.12217311280245152
64,more,1690502893,0.0011211173239415715,0.1232942301263931
65,stat,1672247222,0.0011090104242118958,0.12440324055060499
66,stan,1622628091,0.0010761037266881156,0.1254793442772931
67,king,1622079871,0.0010757401550303112,0.1265550844323234
68,been,1619442392,0.0010739910167054517,0.12762907544902888
69,ress,1610671325,0.001068174170603697,0.12869724961963255
70,thou,1578072030,0.001046554784725023,0.1297438044043576
71,when,1565941307,0.0010385098628478992,0.1307823142672055
72,acti,1562721748,0.001036374697397844,0.13181868896460333
73,lati,1547413752,0.0010262226535406626,0.132844911618144
74,them,1522937493,0.0010099903488792468,0.13385490196702324
75,spec,1494738687,0.0009912893043250049,0.13484619127134825
76,very,1493949392,0.0009907658551774972,0.13583695712652574
77,side,1476738068,0.0009793515514313921,0.13681630867795713
78,thes,1475557280,0.0009785684697293825,0.1377948771476865
79,woul,1474214280,0.0009776778113505724,0.1387725549590371
80,tain,1474021338,0.0009775498549775832,0.13975010481401468
81,nati,1452154351,0.000963047982162329,0.140713152796177
82,rate,1448739949,0.000960783599623292,0.14167393639580028
83,cent,1436800791,0.0009528657209124654,0.14262680211671275
84,ount,1435934830,0.0009522914279710111,0.14357909354468376
85,rese,1423950372,0.0009443435069485239,0.1445234370516323
86,sing,1408302253,0.0009339658983856268,0.1454574029500179
87,what,1385862595,0.0009190842383593141,0.14637648718837723
88,tate,1377992861,0.0009138651434031648,0.1472903523317804
89,even,1366470808,0.0009062238827586774,0.14819657621453908
90,work,1356427702,0.0008995634385977093,0.14909613965313678
91,unde,1340061158,0.0008887093808570037,0.14998484903399378
92,mber,1325454134,0.0008790222115978202,0.1508638712455916
93,hese,1325244022,0.0008788828683265704,0.1517427541139182
94,cial,1320953046,0.0008760371544563738,0.15261879126837455
95,than,1314018902,0.0008714385293979394,0.1534902297977725
96,eral,1306770966,0.0008666318019761368,0.15435686159974862
97,ater,1303448639,0.0008644284822593105,0.15522129008200794
98,tter,1299975118,0.0008621248928455923,0.15608341497485353
99,sent,1288296328,0.0008543796864659451,0.15693779466131946
100,fore,1278964621,0.0008481910319401425,0.1577859856932596
101,ract,1266855669,0.0008401605482786295,0.15862614624153826
102,ling,1266357178,0.0008398299561818972,0.15946597619772016
103,cess,1265633965,0.0008393503316710152,0.16030532652939117
104,inst,1252528758,0.0008306591459520326,0.16113598567534318
105,erat,1244870115,0.0008255800435259216,0.1619615657188691
106,coun,1243626584,0.0008247553515642981,0.16278632107043342
107,ange,1228479534,0.0008147100447908366,0.16360103111522425
108,ties,1227214014,0.0008138707700391225,0.16441490188526336
109,cati,1209909393,0.0008023945930578962,0.16521729647832126
