ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,gesture_tags
glt,,0.00000000,8370,0.00000155,,0.00000000,,below-cut,"books,web,subtlex",
bqu,8371,0.00000006,9010,0.00000115,,0.00000000,,below-cut,"books,web,subtlex",
ubq,8372,0.00000006,12050,0.00000033,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
dtm,,0.00000000,8373,0.00000155,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
bgi,8374,0.00000006,8998,0.00000116,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
icx,,0.00000000,8374,0.00000155,,0.00000000,,below-cut,"books,web,subtlex",
tmm,,0.00000000,8376,0.00000155,,0.00000000,,below-cut,"books,web,subtlex",
vuh,8377,0.00000006,14697,0.00000010,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
efj,,0.00000000,8377,0.00000154,,0.00000000,,below-cut,"books,web,subtlex",
yoj,8378,0.00000006,10721,0.00000057,,0.00000000,,below-cut,"books,web,subtlex",
ixg,,0.00000000,8378,0.00000154,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
wcd,,0.00000000,8380,0.00000154,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
vfi,,0.00000000,8381,0.00000154,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
mry,8383,0.00000006,9373,0.00000100,,0.00000000,,below-cut,"books,web,subtlex",
aql,8384,0.00000006,9222,0.00000106,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
jdc,8385,0.00000006,11504,0.00000042,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
wpb,8386,0.00000006,11580,0.00000040,,0.00000000,,below-cut,"books,web,subtlex",
jro,8387,0.00000006,9317,0.00000102,,0.00000000,,below-cut,"books,web,subtlex",
miw,8388,0.00000006,8620,0.00000139,,0.00000000,,below-cut,"books,web,subtlex",
tgt,,0.00000000,8389,0.00000154,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,same_finger_chain,double_row_change"
qfd,8391,0.00000005,16191,0.00000004,,0.00000000,,below-cut,"books,web,subtlex",redirect
nrv,8392,0.00000005,11876,0.00000035,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
tld,8408,0.00000005,8392,0.00000154,,0.00000000,,below-cut,"books,web,subtlex",
vpi,8394,0.00000005,9781,0.00000084,,0.00000000,,below-cut,"books,web,subtlex",
amx,,0.00000000,8395,0.00000153,,0.00000000,,below-cut,"books,web,subtlex",
mrf,8520,0.00000005,8396,0.00000153,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
jso,8398,0.00000005,9718,0.00000086,,0.00000000,,below-cut,"books,web,subtlex",
pdv,,0.00000000,8398,0.00000153,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
mfp,8399,0.00000005,10183,0.00000071,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
jdk,8400,0.00000005,11010,0.00000051,,0.00000000,,below-cut,"books,web,subtlex",
vlf,8401,0.00000005,14792,0.00000009,,0.00000000,,below-cut,"books,web,subtlex",
tlp,8402,0.00000005,9048,0.00000114,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ziy,8403,0.00000005,13378,0.00000018,,0.00000000,,below-cut,"books,web,subtlex",
qus,8406,0.00000005,10502,0.00000062,,0.00000000,,below-cut,"books,web,subtlex",
mpv,,0.00000000,8406,0.00000153,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
wml,8409,0.00000005,10264,0.00000069,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
cfg,,0.00000000,8409,0.00000152,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
dnl,8542,0.00000005,8410,0.00000152,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
tvb,,0.00000000,8411,0.00000152,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,same_finger_chain"
dbt,8433,0.00000005,8413,0.00000152,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
bpu,,0.00000000,8416,0.00000152,,0.00000000,,below-cut,"books,web,subtlex",
npk,8418,0.00000005,11047,0.00000050,,0.00000000,,below-cut,"books,web,subtlex","redirect,double_row_change"
avt,,0.00000000,8418,0.00000152,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
mpq,8419,0.00000005,11800,0.00000037,,0.00000000,,below-cut,"books,web,subtlex",
dbb,,0.00000000,8421,0.00000152,,0.00000000,,below-cut,"books,web,subtlex",
czy,8422,0.00000005,9921,0.00000079,,0.00000000,,below-cut,"books,web,subtlex",
tgn,,0.00000000,8422,0.00000152,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
jcz,8423,0.00000005,15319,0.00000007,,0.00000000,,below-cut,"books,web,subtlex",
zyk,8424,0.00000005,10142,0.00000072,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
jtp,8426,0.00000005,14658,0.00000010,,0.00000000,,below-cut,"books,web,subtlex",
uhv,8427,0.00000005,14910,0.00000009,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
ukg,,0.00000000,8427,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",
jci,8428,0.00000005,11624,0.00000040,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
zth,,0.00000000,8428,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ojc,8429,0.00000005,11393,0.00000044,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ttj,,0.00000000,8429,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",
fgm,8430,0.00000005,10612,0.00000060,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
xke,,0.00000000,8430,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
srn,8431,0.00000005,8815,0.00000126,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
