rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
20,ar,30308513014,0.010748984742942346,same_hand_different_fingers,L,pinky,a,0.0,L,index,f,1.0308,1.0308,1.0308,,True,1.0,inward,True,True,"are, years, part, year, large, war, far, early, around, research, area, necessary"
21,st,29704461829,0.010534756583067857,same_hand_different_fingers,L,ring,s,0.0,L,index,f,1.25,1.25,1.25,,True,1.0,inward,True,False,"first, most, must, state, just, system, against, still, states, last, history, study"
22,to,29360205581,0.010412665302782832,alternate_hands,L,index,f,1.25,R,ring,l,1.0308,2.2808,1.25,,False,0.0,cross_hand,True,False,"to, into, too, history, took, together, total, told, toward, story, town, towards"
23,nt,29359771944,0.010412511512410641,alternate_hands,R,index,j,1.118,L,index,f,1.25,2.368,1.25,,True,2.0,cross_hand,False,False,"into, government, different, point, important, present, development, country, until, control, went, interest"
24,ng,26871805511,0.009530148421324101,alternate_hands,R,index,j,1.118,L,index,f,1.0,2.118,1.118,,True,1.0,cross_hand,False,False,"being, long, during, among, following, things, having, change, young, nothing, something, going"
25,se,26282488562,0.009321145792569853,same_hand_different_fingers,L,ring,s,0.0,L,middle,d,1.0308,1.0308,1.0308,,True,1.0,inward,True,False,"these, see, those, because, use, used, case, house, second, present, himself, set"
26,ha,26103411208,0.009257635591819875,alternate_hands,R,index,j,1.0,L,pinky,a,0.0,1.0,1.0,,False,0.0,cross_hand,True,True,"that, have, had, has, what, than, shall, hand, chapter, having, change, half"
27,as,24561944198,0.008710950725934656,same_hand_different_fingers,L,pinky,a,0.0,L,ring,s,0.0,0.0,0.0,,False,0.0,inward,True,True,"as, was, has, case, last, least, cases, based, class, reason, asked, past"
28,ou,24531132241,0.008700023193609326,same_hand_different_fingers,R,ring,l,1.0308,R,index,j,1.0308,2.0616,1.0308,,False,0.0,inward,True,False,"you, would, about, out, could, our, should, your, through, without, found, house"
29,io,23542263265,0.008349318507738292,same_hand_different_fingers,R,middle,k,1.0308,R,ring,l,1.0308,2.0616,1.0308,,False,0.0,outward,True,False,"information, national, period, question, action, education, section, position, various, conditions, production, international"
30,le,23382173640,0.008292542349309354,alternate_hands,R,ring,l,0.0,L,middle,d,1.0308,1.0308,1.0308,,True,1.0,cross_hand,True,False,"people, while, little, less, called, example, left, possible, whole, table, let, least"
31,ve,23270129573,0.008252805659945416,same_hand_different_fingers,L,index,f,1.118,L,middle,d,1.0308,2.1488,1.118,,True,2.0,outward,False,False,"have, very, over, even, however, every, government, given, never, development, give, university"
32,co,22384167777,0.00793859724517974,alternate_hands,L,middle,d,1.118,R,ring,l,1.0308,2.1488,1.118,,True,2.0,cross_hand,True,False,"could, come, second, country, course, control, become, court, common, company, economic, conditions"
33,me,22360109325,0.007930064859134691,alternate_hands,R,index,j,1.118,L,middle,d,1.0308,2.1488,1.118,,True,2.0,cross_hand,False,False,"some, time, me, same, men, government, come, american, women, came, development, home"
