# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
wants,15655,6036,True
stuff,15653,5429,True
turn,15630,5931,True
days,15592,5801,True
friends,15578,5484,True
until,15426,6129,True
few,15393,6032,True
kids,15356,4510,True
honey,15325,4185,True
gone,15135,5920,True
both,15062,6112,True
door,14895,5286,True
later,14889,5951,True
saying,14874,5819,True
such,14852,5626,True
killed,14792,4422,True
having,14752,5879,True
face,14747,5610,True
worry,14638,5727,True
ago,14592,5851,True
five,14558,5205,True
second,14513,5734,True
brother,14481,3795,True
case,14403,4885,True
thinking,14353,5707,True
probably,14323,5753,True
beautiful,14266,4973,True
hand,14262,5562,True
check,14228,5293,True
year,14174,4981,True
forget,14130,5661,True
hit,14025,5092,True
lost,13974,5685,True
minutes,13924,5208,True
crazy,13886,5039,True
late,13756,5576,True
phone,13756,4502,True
end,13559,5673,True
easy,13551,5385,True
doctor,13461,3703,True
under,13358,5576,True
part,13337,5604,True
deal,13330,5231,True
die,13318,4657,True
soon,13140,5603,True
four,13045,4932,True
anyone,13018,5562,True
pay,12985,4936,True
happen,12968,5673,True
true,12921,5312,True
each,12916,5480,True
supposed,12865,5464,True
eat,12846,4834,True
mine,12800,5426,True
working,12775,5370,True
town,12644,4116,True
afraid,12631,4944,True
drink,12617,4353,True
exactly,12607,5481,True
whatever,12584,5573,True
hurt,12564,5123,True
knows,12492,5479,True
heart,12453,4582,True
gave,12428,5529,True
young,12402,4685,True
everyone,12324,5106,True
chance,12303,5343,True
read,12302,4733,True
makes,12296,5642,True
number,12288,4542,True
taking,12263,5641,True
change,12258,5259,True
anyway,12164,5348,True
week,12164,5024,True
married,12163,3952,True
hands,12063,5056,True
point,12063,5202,True
police,12044,3369,True
word,12013,5147,True
fun,12010,4632,True
wish,11991,4968,True
bit,11987,5084,True
game,11926,3774,True
