# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
checked,2382,1707,True
weapon,2379,1232,True
restaurant,2373,1244,True
shirt,2365,1400,True
faith,2363,1220,True
simply,2362,1557,True
dig,2357,1253,True
size,2353,1695,True
stars,2353,1302,True
movies,2346,1275,True
necessary,2345,1702,True
themselves,2343,1766,True
blind,2337,1353,True
credit,2337,1490,True
center,2335,1255,True
starts,2335,1714,True
bridge,2331,1046,True
practice,2330,1456,True
closer,2329,1688,True
discuss,2329,1675,True
cars,2327,1318,True
mister,2326,1228,True
cook,2324,1369,True
stage,2324,1176,True
strike,2324,1240,True
ticket,2324,1322,True
animal,2320,1372,True
bird,2318,1196,True
leaves,2316,1719,True
sight,2311,1677,True
following,2310,1667,True
somehow,2310,1708,True
knowing,2307,1781,True
drug,2306,1093,True
career,2305,1506,True
nature,2303,1525,True
cake,2298,1197,True
responsible,2298,1638,True
famous,2296,1434,True
nurse,2294,1099,True
correct,2292,1504,True
breath,2291,1603,True
games,2287,1441,True
allowed,2286,1729,True
sky,2285,1233,True
bringing,2282,1772,True
hearing,2281,1600,True
singing,2281,1194,True
account,2280,1386,True
common,2275,1652,True
due,2275,1712,True
afford,2266,1650,True
tie,2266,1477,True
bright,2265,1403,True
allow,2263,1660,True
belong,2263,1576,True
concerned,2261,1685,True
escape,2258,1386,True
suspect,2254,1297,True
written,2247,1548,True
file,2246,1279,True
skin,2246,1532,True
madam,2244,674,True
fill,2241,1698,True
operation,2241,1197,True
desk,2239,1404,True
taught,2236,1540,True
pack,2235,1592,True
lied,2234,1470,True
faster,2233,1391,True
deserve,2230,1682,True
danger,2227,1415,True
meat,2226,1286,True
command,2225,1020,True
stories,2215,1423,True
tickets,2211,1162,True
hiding,2207,1567,True
paying,2207,1610,True
perfectly,2206,1560,True
whoever,2203,1669,True
beyond,2200,1496,True
student,2195,1140,True
dry,2184,1537,True
jury,2181,585,True
form,2180,1535,True
main,2179,1400,True
heads,2177,1559,True
program,2174,1178,True
milk,2169,1262,True
held,2165,1639,True
horrible,2164,1480,True
kinda,2163,1205,True
feed,2162,1474,True
de,2161,942,True
natural,2160,1562,True
battle,2155,1126,True
breaking,2155,1608,True
ugly,2150,1433,True
coat,2146,1272,True
settle,2143,1526,True
opinion,2142,1430,True
ho,2141,687,True
terrific,2138,1274,True
gentleman,2135,1254,True
older,2135,1502,True
loose,2131,1508,True
noticed,2131,1666,True
local,2128,1498,True
lonely,2125,1364,True
shame,2120,1519,True
shows,2117,1605,True
large,2114,1480,True
devil,2108,1172,True
video,2105,1088,True
speed,2104,1260,True
military,2103,958,True
built,2099,1446,True
shower,2097,1299,True
oil,2095,1059,True
opportunity,2091,1534,True
chest,2090,1177,True
horses,2087,859,True
biggest,2085,1504,True
threw,2082,1552,True
bite,2080,1500,True
wash,2077,1354,True
stone,2072,938,True
block,2067,1318,True
records,2066,1210,True
indeed,2065,1238,True
weapons,2065,969,True
invited,2064,1459,True
draw,2061,1354,True
turning,2061,1630,True
attorney,2060,930,True
pretend,2056,1565,True
health,2054,1341,True
balls,2048,1141,True
heat,2044,1315,True
manager,2038,1055,True
guest,2037,1381,True
loud,2031,1506,True
fantastic,2029,1336,True
itself,2029,1424,True
cares,2023,1555,True
shake,2021,1296,True
lab,2020,1007,True
numbers,2020,1252,True
princess,2019,676,True
island,2018,684,True
easier,2012,1644,True
color,2011,1366,True
earlier,2010,1584,True
bell,2006,1035,True
naked,2002,1217,True
suggest,2001,1485,True
wet,2000,1405,True
pig,1996,1056,True
letting,1995,1628,True
nowhere,1995,1498,True
animals,1993,1137,True
cheese,1991,1130,True
ideas,1987,1351,True
downstairs,1985,1354,True
soldier,1985,830,True
monster,1982,945,True
several,1978,1473,True
planet,1975,858,True
fellas,1973,1043,True
insane,1973,1372,True
eggs,1971,1115,True
spoke,1970,1505,True
butt,1967,1295,True
murdered,1967,1134,True
view,1965,1412,True
bloody,1962,899,True
lines,1960,1348,True
opening,1960,1360,True
insurance,1955,1025,True
split,1954,1406,True
jealous,1952,1207,True
bullet,1950,1006,True
arrived,1949,1419,True
character,1946,1169,True
national,1946,1131,True
screaming,1945,1201,True
airport,1940,982,True
speech,1940,1090,True
hook,1938,1285,True
condition,1936,1375,True
target,1936,945,True
finding,1935,1543,True
serve,1935,1361,True
incredible,1928,1332,True
player,1926,1031,True
signal,1926,1024,True
sugar,1926,1146,True
total,1920,1409,True
selling,1919,1273,True
hill,1915,920,True
football,1914,806,True
page,1912,1146,True
screw,1912,1340,True
justice,1910,1053,True
letters,1910,1033,True
hurts,1907,1378,True
project,1907,983,True
rough,1907,1449,True
crowd,1906,1230,True
meaning,1904,1383,True
planning,1902,1474,True
pair,1900,1357,True
science,1900,1016,True
sees,1899,1467,True
usual,1899,1475,True
sooner,1888,1415,True
ordered,1885,1367,True
subject,1885,1361,True
lies,1883,1279,True
remind,1883,1498,True
strength,1883,1235,True
mail,1879,1110,True
paint,1877,1025,True
freak,1874,1198,True
bedroom,1872,1263,True
neighborhood,1871,1096,True
onto,1871,1429,True
finger,1870,1287,True
personally,1870,1483,True
spell,1869,884,True
ghost,1866,764,True
doctors,1855,1103,True
fake,1853,1107,True
release,1851,1174,True
weight,1850,1296,True
cheap,1848,1304,True
market,1848,1189,True
pray,1847,1081,True
expecting,1846,1464,True
unit,1845,1007,True
signed,1839,1304,True
falling,1837,1315,True
throat,1837,1239,True
lake,1836,802,True
nor,1835,1112,True
director,1834,809,True
realized,1834,1396,True
agreed,1832,1432,True
truly,1830,1342,True
brilliant,1826,1181,True
cab,1826,961,True
powers,1826,675,True
candy,1825,902,True
prepared,1825,1390,True
legal,1821,1200,True
pocket,1821,1282,True
aware,1818,1356,True
roof,1818,1148,True
babe,1814,991,True
slept,1810,1260,True
responsibility,1806,1327,True
mountain,1805,885,True
base,1804,1011,True
ours,1801,1395,True
firm,1799,966,True
trade,1795,1126,True
whom,1795,1254,True
romantic,1794,1161,True
fan,1792,1097,True
liar,1792,1181,True
training,1792,1097,True
brings,1791,1484,True
powerful,1791,1218,True
language,1790,1178,True
sending,1790,1372,True
whenever,1790,1464,True
purpose,1789,1325,True
believed,1788,1310,True
bless,1788,1115,True
pieces,1783,1266,True
arrested,1781,1211,True
noise,1779,1252,True
suck,1779,1172,True
fancy,1777,1233,True
exciting,1776,1285,True
genius,1773,1174,True
forgotten,1771,1295,True
introduce,1771,1335,True
rent,1762,1062,True
familiar,1760,1388,True
criminal,1758,1084,True
doors,1755,1180,True
proof,1754,1111,True
vote,1751,733,True
com,1750,1241,True
recognize,1750,1343,True
stolen,1750,1072,True
suicide,1747,950,True
weather,1746,1031,True
drinks,1744,1228,True
medicine,1744,1000,True
issue,1741,1188,True
lift,1741,1264,True
followed,1739,1316,True
buried,1738,1095,True
mood,1736,1288,True
male,1731,1106,True
among,1729,1273,True
television,1729,935,True
nights,1727,1286,True
regular,1727,1330,True
opened,1726,1321,True
someday,1726,1244,True
stomach,1725,1219,True
yellow,1724,1019,True
ate,1722,1285,True
nearly,1721,1290,True
scare,1712,1261,True
village,1712,774,True
prepare,1711,1193,True
matters,1710,1324,True
monkey,1709,782,True
pizza,1709,841,True
assume,1707,1306,True
heading,1707,1215,True
sudden,1707,1310,True
toast,1707,1104,True
ears,1705,1276,True
fella,1705,930,True
babies,1704,995,True
jacket,1704,971,True
social,1703,1135,True
thoughts,1703,1179,True
travel,1702,1175,True
sometime,1699,1327,True
property,1698,1104,True
expected,1696,1346,True
fingers,1696,1242,True
bodies,1694,1103,True
remain,1694,1205,True
secretary,1694,782,True
funeral,1693,960,True
magazine,1693,857,True
sexual,1693,913,True
jerk,1690,1110,True
dating,1689,1002,True
glasses,1689,1008,True
freedom,1688,954,True
research,1688,1038,True
add,1686,1329,True
damage,1686,1177,True
handsome,1684,1136,True
repeat,1684,1166,True
hired,1683,1144,True
buying,1679,1262,True
prefer,1679,1311,True
society,1679,1025,True
energy,1678,995,True
crack,1675,1192,True
chase,1673,944,True
vacation,1673,979,True
divorce,1669,871,True
stayed,1668,1335,True
defense,1665,832,True
rat,1663,941,True
began,1658,1095,True
picking,1658,1283,True
checking,1656,1323,True
goodness,1655,1147,True
reasons,1655,1263,True
post,1654,1005,True
confused,1653,1268,True
surgery,1651,768,True
telephone,1651,984,True
contract,1650,838,True
safety,1649,1147,True
tall,1649,1144,True
fixed,1647,1204,True
professional,1646,1173,True
lesson,1644,1120,True
assistant,1643,977,True
tiny,1643,1092,True
points,1642,1049,True
understood,1639,1197,True
runs,1637,1303,True
license,1635,992,True
model,1635,982,True
gate,1634,902,True
soft,1633,1211,True
ear,1632,1106,True
riding,1632,1057,True
staff,1632,987,True
warning,1630,1161,True
engine,1626,807,True
planned,1624,1300,True
map,1623,805,True
swim,1622,844,True
harm,1621,1181,True
square,1620,1072,True
silver,1619,881,True
brave,1617,1111,True
access,1615,923,True
positive,1613,1170,True
covered,1612,1280,True
female,1612,1037,True
someplace,1611,1229,True
streets,1611,1060,True
blew,1610,1224,True
weak,1607,1181,True
season,1605,1000,True
rush,1602,1231,True
awesome,1600,873,True
snow,1599,773,True
spring,1597,1027,True
champagne,1596,846,True
spread,1596,1194,True
mayor,1595,508,True
pounds,1595,992,True
demon,1593,384,True
winner,1592,916,True
lips,1590,1058,True
leader,1589,894,True
tongue,1589,1117,True
bath,1587,994,True
permission,1587,1063,True
showing,1587,1295,True
storm,1574,826,True
destroyed,1573,1084,True
spare,1573,1186,True
tour,1571,934,True
headed,1570,1191,True
trees,1565,973,True
students,1564,778,True
ends,1563,1239,True
bones,1561,809,True
burning,1561,1122,True
appointment,1559,1058,True
kicked,1559,1166,True
mentioned,1556,1254,True
score,1552,977,True
shoe,1550,893,True
ocean,1545,862,True
harder,1544,1173,True
reality,1543,918,True
shape,1542,1189,True
gang,1537,802,True
survive,1537,1108,True
saving,1536,1250,True
cos,1535,396,True
style,1534,1106,True
farm,1532,731,True
shopping,1530,1048,True
clearly,1529,1213,True
sexy,1529,913,True
answers,1527,1099,True
example,1527,1184,True
growing,1527,1204,True
laid,1527,1155,True
gosh,1525,977,True
rings,1524,811,True
alarm,1522,898,True
plays,1521,993,True
screwed,1519,1124,True
fortune,1518,1046,True
schedule,1518,1081,True
bleeding,1516,1006,True
enter,1516,1060,True
punch,1514,943,True
ended,1511,1214,True
patients,1511,689,True
rights,1510,1021,True
invite,1509,1111,True
obvious,1508,1201,True
charges,1506,1000,True
interview,1505,815,True
touched,1505,1162,True
affair,1502,834,True
parts,1501,1063,True
unbelievable,1500,1100,True
wherever,1500,1158,True
chocolate,1499,887,True
focus,1499,1073,True
borrow,1495,1145,True
grade,1493,993,True
grew,1493,1140,True
finds,1492,1226,True
investigation,1491,895,True
mate,1491,650,True
statement,1491,929,True
load,1490,1096,True
painting,1489,639,True
throwing,1488,1224,True
community,1486,916,True
loss,1485,1144,True
waited,1485,1186,True
barely,1482,1216,True
woods,1482,740,True
changes,1481,1155,True
details,1481,1151,True
yourselves,1479,1156,True
exist,1477,1049,True
toilet,1474,954,True
chances,1472,1175,True
drove,1472,1101,True
meal,1472,1048,True
dump,1470,1047,True
disappeared,1469,1009,True
member,1468,1109,True
shock,1468,1085,True
discovered,1467,1133,True
failed,1467,1092,True
pie,1466,790,True
crash,1461,892,True
artist,1460,775,True
sat,1459,1109,True
theory,1459,965,True
depends,1457,1225,True
bags,1456,990,True
joy,1456,923,True
pleased,1455,1101,True
ruin,1455,1183,True
kissed,1454,849,True
traffic,1454,992,True
nonsense,1452,1021,True
pink,1452,812,True
wise,1452,1046,True
carrying,1451,1121,True
burned,1448,1038,True
midnight,1447,995,True
shots,1447,951,True
deliver,1446,1075,True
bread,1445,902,True
officers,1442,844,True
button,1441,900,True
dealing,1440,1152,True
original,1440,1048,True
hated,1439,1046,True
source,1437,812,True
cases,1436,969,True
hung,1436,990,True
received,1436,1086,True
charming,1434,946,True
switch,1434,1000,True
decent,1433,1106,True
below,1430,986,True
desert,1427,730,True
process,1427,1037,True
expensive,1425,1107,True
belongs,1423,1109,True
particular,1423,1096,True
higher,1420,1023,True
moves,1420,1067,True
breathing,1417,999,True
grandmother,1417,754,True
lower,1417,1055,True
period,1417,1022,True
pride,1411,936,True
dollar,1410,872,True
thousands,1410,1014,True
witch,1410,475,True
soldiers,1409,652,True
tip,1409,1031,True
jobs,1408,996,True
plant,1408,831,True
sports,1407,852,True
surely,1407,994,True
bust,1406,928,True
birth,1405,948,True
including,1405,1159,True
joint,1405,898,True
bull,1403,665,True
wire,1403,819,True
brains,1401,1028,True
rise,1399,1008,True
towards,1399,1108,True
boring,1398,1012,True
ashamed,1396,1031,True
sisters,1395,793,True
section,1394,927,True
facts,1393,899,True
clever,1391,957,True
smells,1391,1089,True
honestly,1390,1087,True
success,1390,1001,True
garage,1388,816,True
connection,1386,1008,True
filled,1386,1143,True
physical,1386,1022,True
complicated,1385,1055,True
pulling,1384,1146,True
regret,1384,1027,True
closet,1381,886,True
loser,1381,916,True
giant,1380,861,True
wheel,1380,851,True
parking,1379,929,True
policy,1378,847,True
stranger,1377,986,True
tear,1377,1053,True
wood,1377,754,True
fate,1375,865,True
juice,1371,830,True
governor,1369,401,True
tied,1364,1054,True
faces,1363,1082,True
awake,1362,1016,True
fought,1362,978,True
coast,1361,795,True
pilot,1360,567,True
miracle,1359,871,True
aboard,1358,709,True
files,1358,699,True
lover,1358,886,True
based,1357,1020,True
cigarette,1357,860,True
disgusting,1357,990,True
grateful,1355,1000,True
mighty,1355,785,True
murderer,1355,729,True
garden,1354,841,True
watched,1353,1070,True
wound,1353,937,True
drag,1349,973,True
forced,1349,1079,True
fourth,1349,940,True
scream,1347,866,True
event,1345,969,True
woke,1344,1053,True
actor,1343,574,True
row,1343,882,True
grave,1340,881,True
changing,1339,1088,True
senior,1339,774,True
curious,1337,1027,True
flat,1337,913,True
winter,1337,839,True
badly,1336,1055,True
priest,1336,522,True
scary,1336,920,True
shoulder,1336,976,True
super,1336,798,True
disease,1335,820,True
sword,1335,462,True
chick,1334,739,True
smoking,1334,943,True
closing,1333,970,True
offered,1333,1049,True
concern,1332,1068,True
talent,1332,883,True
garbage,1331,852,True
attitude,1330,1016,True
mostly,1330,1099,True
bone,1329,855,True
egg,1328,726,True
friendly,1328,986,True
recently,1328,1084,True
basically,1327,956,True
engaged,1327,791,True
quarter,1327,917,True
thee,1327,394,True
rooms,1326,947,True
passing,1325,1022,True
swing,1325,857,True
available,1323,1069,True
bike,1320,574,True
birds,1320,737,True
knees,1320,946,True
slip,1320,1043,True
hunt,1319,712,True
caused,1318,1038,True
taxi,1318,666,True
stood,1315,996,True
likely,1314,1041,True
object,1314,823,True
hates,1313,988,True
percent,1313,790,True
raised,1312,1038,True
guests,1311,884,True
desperate,1310,981,True
dirt,1310,814,True
pussy,1309,545,True
negative,1308,843,True
plate,1308,925,True
cooking,1307,898,True
data,1306,596,True
distance,1306,955,True
tank,1306,674,True
request,1304,910,True
golf,1302,604,True
hire,1302,956,True
knowledge,1302,936,True
ruined,1302,981,True
cow,1301,728,True
dawn,1301,692,True
falls,1301,871,True
stock,1300,775,True
equipment,1298,849,True
conference,1296,797,True
reports,1296,900,True
rescue,1296,766,True
claim,1295,886,True
sale,1295,915,True
audience,1294,758,True
silence,1294,884,True
warn,1293,1025,True
mercy,1291,785,True
create,1289,924,True
proper,1289,972,True
universe,1289,703,True
baseball,1288,640,True
soup,1285,763,True
outfit,1280,838,True
slowly,1279,959,True
yard,1278,776,True
grown,1275,1041,True
loving,1275,946,True
pure,1271,952,True
rate,1271,943,True
bro,1270,586,True
dies,1270,983,True
celebrate,1268,990,True
piano,1268,597,True
pills,1266,666,True
uniform,1266,808,True
stealing,1265,944,True
spending,1264,1049,True
doll,1263,648,True
duck,1263,703,True
location,1263,823,True
returned,1263,933,True
amount,1262,1012,True
healthy,1262,990,True
knocked,1261,982,True
pen,1261,816,True
reached,1261,1017,True
walls,1261,888,True
steps,1259,922,True
younger,1257,944,True
attractive,1256,881,True
notes,1255,786,True
fail,1254,939,True
beast,1252,552,True
path,1252,870,True
poison,1252,696,True
wanting,1251,1013,True
naturally,1250,857,True
happiness,1249,842,True
anytime,1248,1031,True
sucks,1248,912,True
eventually,1246,992,True
channel,1245,726,True
elevator,1245,676,True
thy,1243,445,True
belt,1242,838,True
grandfather,1241,606,True
secure,1241,842,True
avoid,1239,1043,True
penny,1239,597,True
laughs,1238,607,True
thief,1238,704,True
guards,1237,635,True
bride,1235,638,True
pathetic,1234,931,True
mirror,1233,871,True
partners,1232,756,True
becomes,1231,973,True
dozen,1231,1001,True
direction,1228,979,True
gorgeous,1227,889,True
direct,1226,931,True
odd,1226,917,True
theater,1226,594,True
committed,1225,919,True
led,1225,953,True
march,1225,732,True
members,1224,891,True
official,1224,935,True
puts,1224,1029,True
attacked,1219,861,True
effect,1219,930,True
tail,1219,821,True
treated,1219,988,True
vision,1218,751,True
secrets,1217,850,True
dust,1216,811,True
talks,1216,987,True
trap,1216,806,True
wide,1214,982,True
honour,1213,457,True
sharp,1213,911,True
aside,1212,980,True
deck,1212,629,True
stairs,1212,846,True
guts,1211,894,True
extremely,1210,960,True
lousy,1210,884,True
unusual,1210,931,True
newspaper,1208,752,True
apple,1207,689,True
courage,1207,835,True
terribly,1205,781,True
fishing,1204,663,True
carefully,1202,957,True
hitting,1200,933,True
pulse,1200,530,True
writer,1200,573,True
edge,1199,907,True
illegal,1199,857,True
pity,1199,835,True
couch,1197,792,True
protection,1197,854,True
tests,1197,777,True
staring,1196,930,True
victims,1196,671,True
created,1195,845,True
screen,1193,766,True
appear,1192,957,True
winning,1192,815,True
precious,1191,817,True
studio,1190,566,True
windows,1190,831,True
kissing,1189,726,True
rob,1188,570,True
golden,1187,757,True
frightened,1186,794,True
owner,1185,850,True
royal,1185,506,True
intend,1183,897,True
considered,1182,953,True
parties,1182,881,True
cast,1180,797,True
prisoner,1180,631,True
popular,1177,849,True
destiny,1175,588,True
robbery,1175,568,True
federal,1173,672,True
silent,1173,785,True
violence,1173,766,True
hearts,1172,851,True
mystery,1171,837,True
nerve,1171,834,True
circumstances,1170,938,True
library,1170,687,True
toward,1169,879,True
busted,1168,876,True
becoming,1167,961,True
rocks,1167,777,True
embarrassing,1165,926,True
photo,1165,774,True
practically,1165,958,True
tower,1165,540,True
armed,1164,807,True
friendship,1164,788,True
maid,1164,614,True
shift,1164,793,True
wallet,1163,689,True
package,1162,705,True
flower,1161,629,True
range,1161,736,True
beating,1160,900,True
results,1158,818,True
rope,1158,654,True
steady,1158,742,True
cleaning,1157,883,True
exact,1154,948,True
image,1154,818,True
turkey,1153,572,True
vehicle,1153,668,True
easily,1151,955,True
jungle,1151,486,True
nasty,1151,897,True
pot,1149,763,True
sensitive,1149,909,True
suffer,1148,898,True
millions,1147,818,True
remembered,1146,954,True
trash,1146,804,True
thou,1144,385,True
ambulance,1143,727,True
behavior,1142,861,True
nightmare,1142,857,True
prize,1142,735,True
per,1141,795,True
snake,1140,526,True
tears,1140,817,True
cancer,1139,591,True
families,1139,824,True
orange,1138,684,True
terms,1138,863,True
foreign,1137,749,True
media,1137,852,True
wasting,1135,955,True
memories,1132,764,True
songs,1132,615,True
material,1129,825,True
expert,1128,842,True
cutting,1126,904,True
advantage,1125,918,True
flesh,1125,792,True
rude,1125,885,True
disappointed,1124,928,True
committee,1123,528,True
guarantee,1123,880,True
signs,1123,863,True
kinds,1121,932,True
punk,1121,643,True
downtown,1118,818,True
sandwich,1118,748,True
marks,1117,651,True
understanding,1117,895,True
mistakes,1116,894,True
political,1115,646,True
sweat,1115,863,True
cents,1114,672,True
panic,1114,792,True
performance,1113,719,True
plain,1113,832,True
boom,1112,585,True
stops,1112,882,True
union,1111,632,True
seats,1110,787,True
cable,1108,535,True
fruit,1108,715,True
hundreds,1108,896,True
separate,1107,915,True
ancient,1105,738,True
underwear,1105,754,True
moments,1101,885,True
castle,1099,382,True
rolling,1099,753,True
setting,1099,959,True
delicious,1098,854,True
circle,1097,689,True
value,1097,862,True
bills,1096,754,True
glory,1096,636,True
miserable,1096,854,True
squad,1096,563,True
counting,1095,873,True
manage,1095,889,True
bowl,1094,682,True
victory,1094,636,True
zero,1094,651,True
embarrassed,1093,834,True
stands,1093,876,True
creature,1092,657,True
basketball,1091,420,True
deny,1091,773,True
mixed,1090,828,True
continues,1089,680,True
route,1089,751,True
rare,1087,864,True
yelling,1087,766,True
holiday,1086,617,True
hidden,1085,835,True
ill,1085,698,True
directly,1084,875,True
helps,1084,905,True
progress,1084,834,True
remove,1084,818,True
wave,1084,680,True
gods,1083,394,True
authority,1082,791,True
chain,1082,739,True
emotional,1081,767,True
highly,1081,874,True
hunting,1081,687,True
wore,1081,864,True
shadow,1080,624,True
false,1078,826,True
jumped,1078,849,True
gray,1077,539,True
estate,1076,687,True
skip,1076,689,True
whore,1076,616,True
horn,1075,586,True
agents,1074,583,True
appears,1074,846,True
basement,1074,679,True
minds,1072,861,True
pleasant,1072,806,True
clients,1071,623,True
mile,1071,779,True
approach,1070,804,True
refuse,1070,849,True
disappear,1069,837,True
bug,1068,583,True
district,1068,608,True
rabbit,1068,447,True
speaks,1068,681,True
champion,1067,511,True
competition,1066,609,True
proceed,1066,722,True
stopping,1066,894,True
forces,1064,668,True
leading,1064,823,True
presence,1064,861,True
century,1063,727,True
cure,1063,627,True
capable,1062,857,True
convinced,1061,849,True
swell,1061,570,True
warrant,1060,613,True
threat,1059,757,True
therefore,1058,730,True
bury,1054,757,True
diamond,1053,473,True
services,1053,793,True
shine,1053,666,True
bat,1052,561,True
alert,1051,658,True
chip,1051,490,True
transfer,1048,677,True
sentence,1047,708,True
thrown,1047,881,True
fabulous,1046,679,True
nation,1045,620,True
pushed,1045,794,True
butter,1042,672,True
jokes,1040,700,True
reporter,1040,513,True
booth,1039,419,True
casino,1039,325,True
successful,1037,847,True
learning,1036,815,True
awfully,1035,780,True
possibility,1035,825,True
sand,1035,618,True
bow,1034,609,True
cage,1034,564,True
desire,1034,733,True
wolf,1034,376,True
units,1032,596,True
wing,1032,581,True
exchange,1031,754,True
trapped,1030,771,True
bored,1029,785,True
pet,1029,623,True
thin,1029,803,True
drama,1028,480,True
rip,1028,765,True
series,1028,711,True
hills,1027,609,True
homework,1027,634,True
carried,1026,845,True
entirely,1026,810,True
zone,1026,622,True
explanation,1023,794,True
spy,1023,515,True
assure,1021,819,True
failure,1021,744,True
collect,1020,791,True
hits,1020,816,True
bang,1019,588,True
swimming,1019,639,True
launch,1018,395,True
print,1018,635,True
delivery,1017,703,True
fever,1017,570,True
journey,1017,670,True
useless,1017,766,True
photos,1016,615,True
kills,1015,826,True
sport,1015,665,True
challenge,1013,700,True
loan,1013,580,True
routine,1012,748,True
soda,1012,667,True
spoken,1012,857,True
mask,1010,480,True
teaching,1010,735,True
trunk,1010,561,True
leads,1009,817,True
passion,1008,724,True
purse,1008,672,True
result,1008,777,True
argue,1007,814,True
climb,1007,724,True
served,1007,841,True
cats,1006,539,True
beef,1005,643,True
witnesses,1005,657,True
recall,1003,787,True
wings,1003,635,True
cabin,1002,459,True
mental,1002,707,True
ships,1002,414,True
script,1000,404,True
article,998,553,True
solid,998,781,True
education,996,683,True
salt,995,612,True
solve,994,754,True
confidence,993,751,True
frankly,992,842,True
metal,992,663,True
receive,992,755,True
wounded,992,594,True
agency,991,588,True
anger,991,639,True
escaped,991,717,True
settled,991,824,True
suffering,991,755,True
detail,989,737,True
pipe,989,643,True
trace,989,699,True
supper,988,591,True
wins,988,661,True
effort,987,795,True
spit,987,742,True
studying,987,706,True
hug,986,695,True
enemies,985,684,True
treatment,985,644,True
commit,984,724,True
intelligence,983,648,True
reputation,983,734,True
troops,983,456,True
custody,982,603,True
ability,980,679,True
site,980,601,True
fifth,979,748,True
palace,979,438,True
trail,979,624,True
pushing,978,800,True
boots,977,598,True
hop,977,652,True
stays,977,839,True
owns,976,771,True
attempt,975,752,True
houses,975,738,True
lawyers,975,646,True
mouse,975,400,True
bout,974,596,True
ease,974,718,True
hurting,974,797,True
stronger,974,761,True
considering,973,838,True
ordinary,973,708,True
presents,973,615,True
customers,972,672,True
impressed,972,823,True
laundry,972,642,True
ripped,972,745,True
treasure,972,425,True
revenge,971,649,True
odds,970,708,True
tricks,969,730,True
cowboy,968,482,True
nuclear,968,379,True
motion,967,630,True
mall,964,426,True
virus,964,264,True
forest,963,500,True
sounded,962,816,True
trained,962,741,True
scratch,961,734,True
virgin,961,546,True
breaks,960,809,True
fifty,960,640,True
potential,960,748,True
defend,959,683,True
contest,958,500,True
fashion,957,640,True
plastic,957,681,True
cap,956,619,True
convince,955,805,True
interrupt,955,849,True
latest,955,819,True
issues,954,692,True
arrive,953,725,True
cheer,953,733,True
chose,952,775,True
supply,952,700,True
surveillance,952,553,True
ignore,951,771,True
mountains,951,585,True
nail,951,710,True
league,950,607,True
vice,950,505,True
figures,949,764,True
joking,949,749,True
cheating,948,603,True
coincidence,948,742,True
favour,948,603,True
loaded,948,760,True
messages,948,688,True
quality,947,736,True
title,947,588,True
division,946,539,True
impression,946,787,True
particularly,946,785,True
reasonable,946,668,True
tiger,945,441,True
se,944,357,True
therapy,944,576,True
bastards,943,670,True
museum,942,459,True
minister,941,395,True
steel,941,545,True
bound,940,738,True
slave,940,498,True
standard,940,728,True
wishes,940,663,True
anniversary,939,452,True
dreaming,939,668,True
yell,939,731,True
firing,937,613,True
reminds,937,813,True
shy,937,694,True
cruel,936,690,True
walks,936,759,True
seek,934,632,True
cancel,933,727,True
chasing,933,769,True
prime,933,546,True
former,932,719,True
smooth,932,710,True
socks,932,546,True
dates,931,658,True
modern,930,676,True
surface,930,543,True
curse,929,517,True
lifetime,929,775,True
role,929,653,True
chosen,927,664,True
eaten,927,766,True
gym,927,530,True
motel,927,469,True
collection,926,669,True
device,926,563,True
enjoyed,926,772,True
heck,925,607,True
pee,925,547,True
noon,924,703,True
blowing,921,748,True
sons,921,615,True
reward,919,598,True
degrees,918,610,True
lets,918,610,True
bothering,917,759,True
bars,916,672,True
cameras,915,581,True
dumped,915,670,True
iron,915,622,True
express,914,680,True
cookies,913,501,True
sacrifice,913,647,True
assignment,912,606,True
tunnel,912,445,True
highway,911,576,True
guide,910,657,True
insist,910,751,True
slide,909,569,True
specific,908,743,True
wrap,908,736,True
cleaned,907,776,True
prom,906,321,True
wagon,906,468,True
cigarettes,905,567,True
lack,905,761,True
defendant,904,316,True
exercise,904,640,True
packed,904,745,True
bullets,901,588,True
cheat,901,616,True
kit,900,424,True
background,899,668,True
ringing,899,574,True
clue,898,694,True
damned,898,639,True
assault,896,591,True
concert,895,417,True
ranch,895,316,True
suits,895,707,True
temple,895,409,True
designed,894,681,True
planes,894,350,True
vampire,894,229,True
foolish,893,685,True
agreement,892,603,True
darkness,892,567,True
flag,892,497,True
tent,892,445,True
rotten,891,650,True
remains,890,671,True
term,890,693,True
alien,889,319,True
patch,888,521,True
provide,888,754,True
touching,888,732,True
snap,887,656,True
bail,885,522,True
believes,885,708,True
imagination,885,650,True
actual,884,706,True
incident,883,685,True
liquor,882,589,True
released,882,657,True
connected,881,683,True
disaster,881,684,True
fully,880,739,True
mass,880,620,True
comfort,878,692,True
sec,877,708,True
smiling,877,676,True
border,876,462,True
fuel,876,386,True
legend,875,565,True
players,875,464,True
crossed,874,740,True
electric,874,537,True
demand,873,687,True
opera,873,376,True
circus,870,450,True
current,869,671,True
diamonds,869,340,True
trauma,869,425,True
enjoying,868,775,True
laws,868,592,True
