bigram,bigram_rank,word_rank,word,word_count
to,22,1,to,19347398077
to,22,2,into,1144226142
to,22,3,too,387800392
to,22,4,history,277771947
to,22,5,took,224536350
to,22,6,together,202762516
to,22,7,total,194645191
to,22,8,told,177717884
to,22,9,toward,140324365
to,22,10,story,136788548
to,22,11,town,128248209
to,22,12,towards,111513874
nt,23,1,into,1144226142
nt,23,2,government,390643826
nt,23,3,different,381761001
nt,23,4,point,333858038
nt,23,5,important,318798581
nt,23,6,present,313754008
nt,23,7,development,292567752
nt,23,8,country,287858905
nt,23,9,until,266946065
nt,23,10,control,254704442
nt,23,11,went,222172805
nt,23,12,interest,221787128
ng,24,1,being,616194541
ng,24,2,long,477333877
ng,24,3,during,448173996
ng,24,4,among,321351351
ng,24,5,following,282890287
ng,24,6,things,261491585
ng,24,7,having,256366406
ng,24,8,change,252169887
ng,24,9,young,233692423
ng,24,10,nothing,224710005
ng,24,11,something,223298632
ng,24,12,going,207111364
se,25,1,these,1305787385
se,25,2,see,846494292
se,25,3,those,691668501
se,25,4,because,612321946
se,25,5,use,535798133
se,25,6,used,524065144
se,25,7,case,416258729
se,25,8,house,316642686
se,25,9,second,316484908
se,25,10,present,313754008
se,25,11,himself,311869400
se,25,12,set,302361340
ha,26,1,that,8000768228
ha,26,2,have,2777439117
ha,26,3,had,2616021603
ha,26,4,has,1632148758
ha,26,5,what,1222533828
ha,26,6,than,1185020453
ha,26,7,shall,343397728
ha,26,8,hand,297264744
ha,26,9,chapter,263277218
ha,26,10,having,256366406
ha,26,11,change,252169887
ha,26,12,half,197368932
as,27,1,as,5700645258
as,27,2,was,5502713968
as,27,3,has,1632148758
as,27,4,case,416258729
as,27,5,last,310248709
as,27,6,least,219366839
as,27,7,cases,207684567
as,27,8,based,197020666
as,27,9,class,193633305
as,27,10,reason,174823900
as,27,11,asked,173745399
as,27,12,past,152399625
ou,28,1,you,2337737641
ou,28,2,would,1472811049
ou,28,3,about,1070877995
ou,28,4,out,1048211344
ou,28,5,could,886891028
ou,28,6,our,874965041
ou,28,7,should,814245936
ou,28,8,your,750769635
ou,28,9,through,647091198
ou,28,10,without,465581954
ou,28,11,found,436617767
ou,28,12,house,316642686
io,29,1,information,285127664
io,29,2,national,265411421
io,29,3,period,240810310
io,29,4,question,222529720
io,29,5,action,212759202
io,29,6,education,209865301
io,29,7,section,202298684
io,29,8,position,201281266
io,29,9,various,197327756
io,29,10,conditions,182610089
io,29,11,production,165669185
io,29,12,international,163591875
le,30,1,people,658716166
le,30,2,while,483440546
le,30,3,little,442854872
le,30,4,less,337388744
le,30,5,called,329762185
le,30,6,example,313505718
le,30,7,left,306802162
le,30,8,possible,272346265
le,30,9,whole,264397495
le,30,10,table,247925745
le,30,11,let,231529250
le,30,12,least,219366839
ve,31,1,have,2777439117
ve,31,2,very,746876416
ve,31,3,over,715517744
ve,31,4,even,677507335
ve,31,5,however,519207264
ve,31,6,every,393306866
ve,31,7,government,390643826
ve,31,8,given,370958373
ve,31,9,never,367408537
ve,31,10,development,292567752
ve,31,11,give,275807450
ve,31,12,university,267605414
co,32,1,could,886891028
co,32,2,come,337666242
co,32,3,second,316484908
co,32,4,country,287858905
co,32,5,course,267248526
co,32,6,control,254704442
co,32,7,become,247467268
co,32,8,court,235765991
co,32,9,common,232507127
co,32,10,company,228554181
co,32,11,economic,216707350
co,32,12,conditions,182610089
me,33,1,some,1182318418
me,33,2,time,1167810273
me,33,3,me,819570654
me,33,4,same,624529137
me,33,5,men,454094525
me,33,6,government,390643826
me,33,7,come,337666242
me,33,8,american,329409247
me,33,9,women,311778830
me,33,10,came,294530569
me,33,11,development,292567752
me,33,12,home,262557366
de,34,1,made,737658132
de,34,2,under,585610545
de,34,3,de,424296592
de,34,4,order,360669813
de,34,5,development,292567752
de,34,6,side,244375385
de,34,7,death,214241154
de,34,8,evidence,158753663
de,34,9,trade,157534593
de,34,10,model,155409143
de,34,11,students,154638455
de,34,12,considered,151545059
hi,35,1,this,3826060334
hi,35,2,his,3611377789
hi,35,3,which,3140226612
hi,35,4,him,1180769747
hi,35,5,while,483440546
hi,35,6,high,384098421
hi,35,7,within,351785120
hi,35,8,children,336723802
hi,35,9,himself,311869400
hi,35,10,think,282298331
hi,35,11,history,277771947
hi,35,12,things,261491585
ri,36,1,during,448173996
ri,36,2,right,405717045
ri,36,3,american,329409247
ri,36,4,period,240810310
ri,36,5,various,197327756
ri,36,6,experience,182659383
ri,36,7,british,164541425
ri,36,8,material,153214581
ri,36,9,countries,140381058
ri,36,10,america,139130506
ri,36,11,rights,138786228
ri,36,12,written,134806145
ro,37,1,from,3469207674
ro,37,2,through,647091198
ro,37,3,group,284672959
ro,37,4,process,261231720
ro,37,5,control,254704442
ro,37,6,around,225965973
ro,37,7,problem,207066989
ro,37,8,problems,182033209
ro,37,9,room,179662401
ro,37,10,brought,167509544
ro,37,11,production,165669185
ro,37,12,groups,159418843
ic,38,1,which,3140226612
ic,38,2,public,342759195
ic,38,3,american,329409247
ic,38,4,political,279042950
ic,38,5,economic,216707350
ic,38,6,service,214015710
ic,38,7,policy,191429651
ic,38,8,particular,188618420
ic,38,9,office,166126353
ic,38,10,specific,141363074
ic,38,11,practice,140702777
ic,38,12,america,139130506
ne,39,1,one,2148983086
ne,39,2,new,1073292865
ne,39,3,general,450612588
ne,39,4,never,367408537
ne,39,5,need,273479350
ne,39,6,line,237500159
ne,39,7,business,228894757
ne,39,8,next,219433560
ne,39,9,necessary,208018922
ne,39,10,done,205603672
ne,39,11,money,182729316
ne,39,12,near,154954539
ea,40,1,each,601281917
ea,40,2,years,563247544
ea,40,3,great,557149997
ea,40,4,year,377400785
ea,40,5,early,262989441
ea,40,6,means,261935832
ea,40,7,head,229586755
ea,40,8,least,219366839
ea,40,9,death,214241154
ea,40,10,research,210101214
ea,40,11,area,209904357
ea,40,12,already,198197475
ra,41,1,general,450612588
ra,41,2,rather,269938951
ra,41,3,several,266874027
ra,41,4,rate,188524311
ra,41,5,natural,163033916
ra,41,6,trade,157534593
ra,41,7,program,144947729
ra,41,8,central,143504901
ra,41,9,character,143305637
ra,41,10,practice,140702777
ra,41,11,generally,139841620
ra,41,12,range,118834139
ce,42,1,place,401396238
ce,42,2,since,371590865
ce,42,3,once,267334111
ce,42,4,process,261231720
ce,42,5,certain,255354603
ce,42,6,service,214015710
ce,42,7,necessary,208018922
ce,42,8,century,202612948
ce,42,9,face,184744335
ce,42,10,experience,182659383
ce,42,11,force,179566043
ce,42,12,office,166126353
li,43,1,like,709849832
li,43,2,life,607266209
li,43,3,little,442854872
li,43,4,public,342759195
li,43,5,political,279042950
li,43,6,line,237500159
li,43,7,light,223142561
li,43,8,english,195298116
li,43,9,policy,191429651
li,43,10,living,141598875
li,43,11,believe,138049846
li,43,12,military,124721452
ch,44,1,which,3140226612
ch,44,2,such,1100072478
ch,44,3,each,601281917
ch,44,4,much,601262291
ch,44,5,children,336723802
ch,44,6,school,286198020
ch,44,7,chapter,263277218
ch,44,8,change,252169887
ch,44,9,church,228296650
ch,44,10,child,214513506
ch,44,11,research,210101214
ch,44,12,changes,160538481
ll,45,1,all,2062779102
ll,45,2,will,1485140664
ll,45,3,well,675415316
ll,45,4,still,408263128
ll,45,5,small,350484848
ll,45,6,shall,343397728
ll,45,7,called,329762185
ll,45,8,following,282890287
ll,45,9,full,197457082
ll,45,10,usually,178737795
ll,45,11,especially,171145125
ll,45,12,tell,148165666
be,46,1,be,4818864785
be,46,2,been,1619043628
be,46,3,between,744064796
be,46,4,being,616194541
be,46,5,because,612321946
be,46,6,before,605166565
be,46,7,number,421670920
be,46,8,become,247467268
be,46,9,best,239519326
be,46,10,better,225159108
be,46,11,became,192781007
be,46,12,members,190942415
ma,47,1,may,1318050430
ma,47,2,made,737658132
ma,47,3,many,732675942
ma,47,4,man,609019192
ma,47,5,make,502804979
ma,47,6,small,350484848
ma,47,7,information,285127664
ma,47,8,human,279027691
ma,47,9,making,204240192
ma,47,10,matter,198029580
ma,47,11,woman,168921413
ma,47,12,major,168841614
si,48,1,since,371590865
si,48,2,possible,272346265
si,48,3,university,267605414
si,48,4,side,244375385
si,48,5,business,228894757
si,48,6,using,201536862
si,48,7,position,201281266
si,48,8,analysis,172535798
si,48,9,similar,168686666
si,48,10,single,163205541
si,48,11,considered,151545059
si,48,12,six,144460042
om,49,1,from,3469207674
om,49,2,some,1182318418
om,49,3,come,337666242
om,49,4,women,311778830
om,49,5,home,262557366
om,49,6,become,247467268
om,49,7,common,232507127
om,49,8,company,228554181
om,49,9,something,223298632
om,49,10,economic,216707350
om,49,11,room,179662401
om,49,12,woman,168921413
ur,50,1,our,874965041
ur,50,2,your,750769635
ur,50,3,during,448173996
ur,50,4,figure,273002399
ur,50,5,course,267248526
ur,50,6,four,262968583
ur,50,7,nature,258607404
ur,50,8,court,235765991
ur,50,9,church,228296650
ur,50,10,further,210653665
ur,50,11,century,202612948
ur,50,12,natural,163033916
ca,51,1,can,1665414118
ca,51,2,because,612321946
ca,51,3,case,416258729
ca,51,4,called,329762185
ca,51,5,american,329409247
ca,51,6,came,294530569
ca,51,7,political,279042950
ca,51,8,education,209865301
ca,51,9,cases,207684567
ca,51,10,became,192781007
ca,51,11,local,188970118
ca,51,12,care,168579579
el,52,1,well,675415316
el,52,2,himself,311869400
el,52,3,development,292567752
el,52,4,itself,223352412
el,52,5,level,217515046
el,52,6,themselves,216975281
el,52,7,self,209487136
el,52,8,help,199252187
el,52,9,held,179077711
el,52,10,field,176569485
el,52,11,model,155409143
el,52,12,felt,148292456
ta,53,1,state,553386027
ta,53,2,states,379406076
ta,53,3,take,378659319
ta,53,4,important,318798581
ta,53,5,certain,255354603
ta,53,6,data,254114763
ta,53,7,table,247925745
ta,53,8,taken,244444700
ta,53,9,total,194645191
ta,53,10,capital,125735242
ta,53,11,military,124721452
ta,53,12,taking,119919305
la,54,1,place,401396238
la,54,2,large,342399659
la,54,3,law,338265440
la,54,4,last,310248709
la,54,5,later,269420608
la,54,6,land,230194244
la,54,7,class,193633305
la,54,8,particular,188618420
la,54,9,la,182088211
la,54,10,black,181542099
la,54,11,language,180585791
la,54,12,similar,168686666
ns,55,1,against,410444403
ns,55,2,means,261935832
ns,55,3,sense,197220509
ns,55,4,conditions,182610089
ns,55,5,considered,151545059
ns,55,6,questions,120973232
